,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1257,OM1,OMNIA METALS GROUP LTD,Materials,02/03/2022,8476068,8476068,0.2175703410150322,1009891818903,8.393045513733511e-06,1.8260777745776862e-06,1.0750260251119568
1258,OMA,OMEGA OIL & GAS LIMITED,Energy,25/10/2022,205973824,205973824,0.6807558622971077,126672735205,0.001626031234477282,0.0011069302951486127,1.0282868425662293
1260,OMH,OM HOLDINGS LIMITED,Materials,12/03/1998,245202176,245202176,0.11862922196355684,1009891818903,0.0002428004380373653,2.8803227056783438e-05,1.0750260251119568
1261,OML,OOH!MEDIA LIMITED,Media & Entertainment,17/12/2014,716579110,716579110,0.9954812624120571,103138247252,0.006947753419244813,0.006916358344717513,0.8706844402831332
1262,OMX,ORANGE MINERALS NL,Materials,08/12/2021,16172019,16172019,0.824420507249832,1009891818903,1.6013615218278466e-05,1.3201952781156761e-05,1.0750260251119568
1263,ONE,ONEVIEW HEALTHCARE PLC,Health Care Equipment & Services,17/03/2016,291547359,291547359,1.3534727043248709,195869793311,0.001488475349218775,0.002014610756228042,0.7240078018435547
1264,OPH,OPHIR HIGH CONVICTION FUND,Not Applic,19/12/2018,710089540,710089540,0.6071585932297638,53144097147,0.013361588174804184,0.008112603079529556,0.39524811934156545
1268,ORA,ORORA LIMITED,Materials,18/12/2013,2751338969,2751338969,0.7509819453799162,1009891818903,0.002724389798492135,0.0020459675508448217,1.0750260251119568
1269,ORD,ORDELL MINERALS LIMITED,Materials,19/07/2024,46044378,46044378,0.3490186361006673,1009891818903,4.559337657573653e-05,1.5912938107687678e-05,1.0750260251119568
1271,ORG,ORIGIN ENERGY LIMITED,Utilities,13/07/1961,18984679334,18984679334,0.7264012681439632,67736981266,0.2802705254822036,0.20358886513364766,0.4601340731469821
1272,ORI,ORICA LIMITED,Materials,28/11/1961,12111880968,12111880968,0.8889572534335516,1009891818903,0.011993245950993632,0.010661482980348363,1.0750260251119568
1273,ORN,ORION MINERALS LTD,Materials,31/10/2003,187355735,187355735,0.33287544937966906,1009891818903,0.0001855205988335623,6.175525270590735e-05,1.0750260251119568
1274,ORP,ORPHEUS URANIUM LIMITED,Materials,23/01/1986,16620130,16620130,-0.01974996465869227,1009891818903,1.645733700274322e-05,-3.250318241803672e-07,1.0750260251119568
